id,name,type1,type2,hp,attack,defense,sp_attack,sp_defense,speed,height,weight,abilities,description
279,Pelipper,Water,Flying,60,50,100,95,70,65,12,280,"Keen Eye, Drizzle","It is a messenger of the skies, carrying small Pokémon and eggs to safety in its bill."
280,Ralts,Psychic,Fairy,28,25,25,45,35,40,4,66,"Synchronize, Trace","RALTS senses the emotions of people using the horns on its head. This POKéMON rarely appears before people. But when it does, it draws closer if it senses that the person has a positive disposition."
281,Kirlia,Psychic,Fairy,38,35,35,65,55,50,8,202,"Synchronize, Trace",It is said that a KIRLIA that is exposed to the positive emotions of its TRAINER grows beautiful. This POKéMON controls psychokinetic powers with its highly developed brain.
282,Gardevoir,Psychic,Fairy,68,65,65,125,115,80,16,484,"Synchronize, Trace","GARDEVOIR has the ability to read the future. If it senses impending danger to its TRAINER, this POKéMON is said to unleash its psychokinetic energy at full power."
283,Surskit,Bug,Water,40,30,32,50,52,65,5,17,"Swift Swim, Rain Dish","From the tips of its feet, SURSKIT secretes an oil that enables it to walk on water as if it were skating. This POKéMON feeds on microscopic organisms in ponds and lakes."
284,Masquerain,Bug,Flying,70,60,62,100,82,80,8,36,"Intimidate, Unnerve",MASQUERAIN intimidates enemies with the eyelike patterns on its antennas. This POKéMON flaps its four wings to freely fly in any direction - even sideways and backwards - as if it were a helicopter.
285,Shroomish,Grass,,60,40,60,40,60,35,4,45,"Effect Spore, Poison Heal","SHROOMISH live in damp soil in the dark depths of forests. They are often found keeping still under fallen leaves. This POKéMON feeds on compost that is made up of fallen, rotted leaves."
286,Breloom,Grass,Fighting,60,130,80,60,60,70,12,392,"Effect Spore, Poison Heal","BRELOOM closes in on its foe with light and sprightly footwork, then throws punches with its stretchy arms. This POKéMON’s fighting technique puts boxers to shame."
287,Slakoth,Normal,,60,60,60,35,35,30,8,240,Truant,"SLAKOTH lolls around for over twenty hours every day. Because it moves so little, it does not need much food. This POKéMON’s sole daily meal consists of just three leaves."
288,Vigoroth,Normal,,80,80,80,55,55,90,14,465,Vital Spirit,VIGOROTH is always itching and agitated to go on a wild rampage. It simply can’t tolerate sitting still for even a minute. This POKéMON’s stress level rises if it can’t be moving constantly.
289,Slaking,Normal,,150,160,100,95,65,100,20,1305,Truant,"SLAKING spends all day lying down and lolling about. It eats grass growing within its reach. If it eats all the grass it can reach, this POKéMON reluctantly moves to another spot."
290,Nincada,Bug,Ground,31,45,90,30,30,40,5,55,"Compound Eyes, Run Away",NINCADA lives underground for many years in complete darkness. This POKéMON absorbs nutrients from the roots of trees. It stays motionless as it waits for evolution.
291,Ninjask,Bug,Flying,61,90,45,50,50,160,8,120,"Speed Boost, Infiltrator","NINJASK moves around at such a high speed that it cannot be seen, even while its crying can be clearly heard. For that reason, this POKéMON was long believed to be invisible."
292,Shedinja,Bug,Ghost,1,90,45,30,30,40,8,12,Wonder Guard,"SHEDINJA’s hard body doesn’t move - not even a twitch. In fact, its body appears to be merely a hollow shell. It is believed that this POKéMON will steal the spirit of anyone peering into its hollow b"
293,Whismur,Normal,,64,51,23,51,23,28,6,163,"Soundproof, Rattled","Normally, WHISMUR’s voice is very quiet - it is barely audible even if one is paying close attention. However, if this POKéMON senses danger, it starts crying at an earsplitting volume."
294,Loudred,Normal,,84,71,43,71,43,48,10,405,"Soundproof, Scrappy",LOUDRED’s bellowing can completely decimate a wood-frame house. It uses its voice to punish its foes. This POKéMON’s round ears serve as loudspeakers.
295,Exploud,Normal,,104,91,63,91,73,68,15,840,"Soundproof, Scrappy","EXPLOUD triggers earthquakes with the tremors it creates by bellowing. If this POKéMON violently inhales from the ports on its body, it’s a sign that it is preparing to let loose a huge bellow."
296,Makuhita,Fighting,,72,60,30,20,30,25,10,864,"Thick Fat, Guts","MAKUHITA is tenacious - it will keep getting up and attacking its foe however many times it is knocked down. Every time it gets back up, this POKéMON stores more energy in its body for evolving."
297,Hariyama,Fighting,,144,120,60,40,60,50,23,2538,"Thick Fat, Guts",It has the habit of challenging others without hesitation to tests of strength. It’s been known to stand on train tracks and stop trains using forearm thrusts.
298,Azurill,Normal,Fairy,50,20,40,20,40,20,2,20,"Thick Fat, Huge Power",A Pokémon that lives by water. It moves quickly on land by bouncing on its big tail.
299,Nosepass,Rock,,30,45,135,45,90,30,10,970,"Sturdy, Magnet Pull","NOSEPASS’s magnetic nose is always pointed to the north. If two of these POKéMON meet, they cannot turn their faces to each other when they are close because their magnetic noses repel one another."
300,Skitty,Normal,,50,45,45,35,35,50,6,110,"Cute Charm, Normalize",SKITTY has the habit of becoming fascinated by moving objects and chasing them around. This POKéMON is known to chase after its own tail and become dizzy.
301,Delcatty,Normal,,70,65,65,55,55,90,11,326,"Cute Charm, Normalize","DELCATTY prefers to live an unfettered existence in which it can do as it pleases at its own pace. Because this POKéMON eats and sleeps whenever it decides, its daily routines are completely random."
302,Sableye,Dark,Ghost,50,75,75,65,65,50,5,110,"Keen Eye, Stall","SABLEYE lead quiet lives deep inside caverns. They are feared, however, because these POKéMON are thought to steal the spirits of people when their eyes burn with a sinister glow in the darkness."
303,Mawile,Steel,Fairy,50,85,85,55,55,50,6,115,"Hyper Cutter, Intimidate","MAWHILE’s huge jaws are actually steel horns that have been transformed. Its docile-looking face serves to lull its foe into letting down its guard. When the foe least expects it, MAWHILE chomps it wi"
304,Aron,Steel,Rock,50,70,100,40,40,30,4,600,"Sturdy, Rock Head","This POKéMON has a body of steel. To make its body, ARON feeds on iron ore that it digs from mountains. Occasionally, it causes major trouble by eating bridges and rails."
305,Lairon,Steel,Rock,60,90,140,50,50,40,9,1200,"Sturdy, Rock Head",LAIRON tempers its steel body by drinking highly nutritious mineral springwater until it is bloated. This POKéMON makes its nest close to springs of delicious water.
306,Aggron,Steel,Rock,70,110,180,60,60,50,21,3600,"Sturdy, Rock Head",AGGRON claims an entire mountain as its own territory. It mercilessly beats up anything that violates its environment. This POKéMON vigilantly patrols its territory at all times.
307,Meditite,Fighting,Psychic,30,40,55,40,55,60,6,112,"Pure Power, Telepathy","MEDITITE undertakes rigorous mental training deep in the mountains. However, whenever it meditates, this POKéMON always loses its concentration and focus. As a result, its training never ends."
308,Medicham,Fighting,Psychic,60,60,75,60,75,80,13,315,"Pure Power, Telepathy","It is said that through meditation, MEDICHAM heightens energy inside its body and sharpens its sixth sense. This POKéMON hides its presence by merging itself with fields and mountains."
309,Electrike,Electric,,40,45,40,65,40,65,6,152,"Static, Lightning Rod",ELECTRIKE stores electricity in its long body hair. This POKéMON stimulates its leg muscles with electric charges. These jolts of power give its legs explosive acceleration performance.
310,Manectric,Electric,,70,75,60,105,60,105,15,402,"Static, Lightning Rod","MANECTRIC is constantly discharging electricity from its mane. The sparks sometimes ignite forest fires. When it enters a battle, this POKéMON creates thunderclouds."
311,Plusle,Electric,,60,50,40,85,75,95,4,42,"Plus, Lightning Rod","PLUSLE always acts as a cheerleader for its partners. Whenever a teammate puts out a good effort in battle, this POKéMON shorts out its body to create the crackling noises of sparks to show its joy."
312,Minun,Electric,,60,40,50,75,85,95,4,42,"Minus, Volt Absorb",MINUN is more concerned about cheering on its partners than its own safety. It shorts out the electricity in its body to create brilliant showers of sparks to cheer on its teammates.
313,Volbeat,Bug,,65,73,75,47,85,85,7,177,"Illuminate, Swarm","With the arrival of night, VOLBEAT emits light from its tail. It communicates with others by adjusting the intensity and flashing of its light. This POKéMON is attracted by the sweet aroma of ILLUMISE"
314,Illumise,Bug,,65,47,75,73,85,85,6,177,"Oblivious, Tinted Lens","With its sweet aroma, it guides Volbeat to draw signs with light in the night sky."
315,Roselia,Grass,Poison,50,60,45,100,80,65,3,20,"Natural Cure, Poison Point",ROSELIA shoots sharp thorns as projectiles at any opponent that tries to steal the flowers on its arms. The aroma of this POKéMON brings serenity to living things.
316,Gulpin,Poison,,70,43,53,43,53,40,4,103,"Liquid Ooze, Sticky Hold","Virtually all of GULPIN’s body is its stomach. As a result, it can swallow something its own size. This POKéMON’s stomach contains a special fluid that digests anything."
317,Swalot,Poison,,100,73,83,73,83,55,17,800,"Liquid Ooze, Sticky Hold","When SWALOT spots prey, it spurts out a hideously toxic fluid from its pores and sprays the target. Once the prey has weakened, this POKéMON gulps it down whole with its cavernous mouth."
318,Carvanha,Water,Dark,45,90,20,65,20,65,8,208,"Rough Skin, Speed Boost",CARVANHA’s strongly developed jaws and its sharply pointed fangs pack the destructive power to rip out boat hulls. Many boats have been attacked and sunk by this POKéMON.
319,Sharpedo,Water,Dark,70,120,40,95,40,95,18,888,"Rough Skin, Speed Boost","Nicknamed “the bully of the sea,” SHARPEDO is widely feared. Its cruel fangs grow back immediately if they snap off. Just one of these POKéMON can thoroughly tear apart a supertanker."
320,Wailmer,Water,,130,70,35,70,35,60,20,1300,"Water Veil, Oblivious",WAILMER’s nostrils are located above its eyes. This playful POKéMON loves to startle people by forcefully snorting out seawater it stores inside its body out of its nostrils.
321,Wailord,Water,,170,90,45,90,45,60,145,3980,"Water Veil, Oblivious","WAILORD is the largest of all identified POKéMON up to now. This giant POKéMON swims languorously in the vast open sea, eating massive amounts of food at once with its enormous mouth."
322,Numel,Fire,Ground,60,60,40,65,45,35,7,240,"Oblivious, Simple","NUMEL is extremely dull witted - it doesn’t notice being hit. However, it can’t stand hunger for even a second. This POKéMON’s body is a seething cauldron of boiling magma."
323,Camerupt,Fire,Ground,70,100,70,105,75,40,19,2200,"Magma Armor, Solid Rock","CAMERUPT has a volcano inside its body. Magma of 18,000 degrees F courses through its body. Occasionally, the humps on this POKéMON’s back erupt, spewing the superheated magma."
324,Torkoal,Fire,,70,85,140,85,70,20,5,804,"White Smoke, Drought",You can tell how it’s feeling by the smoke spouting from its shell. Tremendous velocity is a sign of good health.
325,Spoink,Psychic,,60,25,35,70,80,60,7,306,"Thick Fat, Own Tempo","SPOINK bounces around on its tail. The shock of its bouncing makes its heart pump. As a result, this POKéMON cannot afford to stop bouncing - if it stops, its heart will stop."
326,Grumpig,Psychic,,80,45,65,90,110,80,9,715,"Thick Fat, Own Tempo","GRUMPIG uses the black pearls on its body to amplify its psychic power waves for gaining total control over its foe. When this POKéMON uses its special power, its snorting breath grows labored."
327,Spinda,Normal,,60,60,60,60,60,60,11,50,"Own Tempo, Tangled Feet",No two Spinda have the same pattern of spots. Its tottering step fouls the aim of foes.
328,Trapinch,Ground,,45,100,45,45,45,10,7,150,"Hyper Cutter, Arena Trap","TRAPINCH’s nest is a sloped, bowl-like pit dug in sand. This POKéMON patiently waits for prey to tumble down the pit. Its giant jaws have enough strength to crush even boulders."
329,Vibrava,Ground,Dragon,50,70,50,50,50,70,11,153,Levitate,"To make prey faint, VIBRAVA generates ultrasonic waves by vigorously making its two wings vibrate. This POKéMON’s ultrasonic waves are so powerful, they can bring on headaches in people."
330,Flygon,Ground,Dragon,80,100,80,80,80,100,20,820,Levitate,"FLYGON is nicknamed “the elemental  spirit of the desert.” Because its flapping wings whip up a cloud of sand, this POKéMON is always enveloped in a sandstorm while flying."
331,Cacnea,Grass,,50,85,40,85,40,35,4,513,"Sand Veil, Water Absorb","CACNEA lives in arid locations such as deserts. It releases a strong aroma from its flower to attract prey. When prey comes near, this POKéMON shoots sharp thorns from its body to bring the victim dow"
332,Cacturne,Grass,Dark,70,115,60,115,60,55,13,774,"Sand Veil, Water Absorb","During the daytime, CACTURNE remains unmoving so that it does not lose any moisture to the harsh desert sun. This POKéMON becomes active at night when the temperature drops."
333,Swablu,Normal,Flying,45,40,60,40,75,50,4,12,"Natural Cure, Cloud Nine",SWABLU has light and fluffy wings that are like cottony clouds. This POKéMON is not frightened of people. It lands on the heads of people and sits there like a cotton-fluff hat.
334,Altaria,Dragon,Flying,75,70,90,70,105,80,11,206,"Natural Cure, Cloud Nine","ALTARIA dances and wheels through the sky among billowing, cotton-like clouds. By singing melodies in its crystal-clear voice, this POKéMON makes its listeners experience dreamy wonderment."
335,Zangoose,Normal,,73,115,60,60,60,90,13,403,"Immunity, Toxic Boost",Memories of battling its arch-rival SEVIPER are etched into every cell of ZANGOOSE’s body. This POKéMON adroitly dodges attacks with incredible agility.
336,Seviper,Poison,,73,100,60,100,60,65,27,525,"Shed Skin, Infiltrator",SEVIPER shares a generations-long feud with ZANGOOSE. The scars on its body are evidence of vicious battles. This POKéMON attacks using its sword- edged tail.
337,Lunatone,Rock,Psychic,90,55,65,95,85,70,10,1680,Levitate,"LUNATONE was discovered at a location where a meteorite fell. As a result, some people theorize that this POKéMON came from space. However, no one has been able to prove this theory so far."
338,Solrock,Rock,Psychic,90,95,85,55,65,70,12,1540,Levitate,"Solar energy is the source of its power, so it is strong during the daytime. When it spins, its body shines."
339,Barboach,Water,Ground,50,48,43,46,41,60,4,19,"Oblivious, Anticipation","BARBOACH’s sensitive whiskers serve as a superb radar system. This POKéMON hides in mud, leaving only its two whiskers exposed while it waits for prey to come along."
340,Whiscash,Water,Ground,110,78,73,76,71,60,9,236,"Oblivious, Anticipation","WHISCASH is extremely territorial. Just one of these POKéMON will claim a large pond as its exclusive territory. If a foe approaches it, it thrashes about and triggers a massive earthquake."
341,Corphish,Water,,43,80,65,50,35,35,6,115,"Hyper Cutter, Shell Armor",Its hardy vitality enables it to adapt to any environment. Its pincers will never release prey.
342,Crawdaunt,Water,Dark,63,120,85,90,55,55,11,328,"Hyper Cutter, Shell Armor","CRAWDAUNT has an extremely violent nature that compels it to challenge other living things to battle. Other life-forms refuse to live in ponds inhabited by this POKéMON, making them desolate places."
343,Baltoy,Ground,Psychic,40,40,55,40,70,55,5,215,Levitate,BALTOY moves while spinning around on its one foot. Primitive wall paintings depicting this POKéMON living among people were discovered in some ancient ruins.
344,Claydol,Ground,Psychic,60,70,105,70,120,75,15,1080,Levitate,CLAYDOL are said to be dolls of mud made by primitive humans and brought to life by exposure to a mysterious ray. This POKéMON moves about while levitating.
345,Lileep,Rock,Grass,66,41,77,61,87,23,10,238,"Suction Cups, Storm Drain",LILEEP became extinct approximately a hundred million years ago. This ancient POKéMON attaches itself to a rock on the seafloor and catches approaching prey using tentacles  shaped like flower petals.
346,Cradily,Rock,Grass,86,81,97,81,107,43,15,604,"Suction Cups, Storm Drain",CRADILY roams around the ocean floor in search of food. This POKéMON freely extends its tree trunk-like neck and captures unwary prey using its eight tentacles.
347,Anorith,Rock,Bug,45,95,50,40,50,75,7,125,"Battle Armor, Swift Swim",ANORITH was regenerated from a prehistoric fossil. This primitive POKéMON once lived in warm seas. It grips its prey firmly between its two large claws.
348,Armaldo,Rock,Bug,75,125,100,70,80,45,15,682,"Battle Armor, Swift Swim",ARMALDO’s tough armor makes all attacks bounce off. This POKéMON’s two enormous claws can be freely extended or contracted. They have the power to punch right through a steel slab.
349,Feebas,Water,,20,15,20,10,55,80,6,74,"Swift Swim, Oblivious","FEEBAS’s fins are ragged and tattered from the start of its life. Because of its shoddy appearance, this POKéMON is largely ignored. It is capable of living in both the sea and in rivers."
350,Milotic,Water,,95,60,79,100,125,81,62,1620,"Marvel Scale, Competitive",Its lovely scales are described as rainbow colored. They change color depending on the viewing angle.
351,Castform,Normal,,70,70,70,70,70,70,3,8,Forecast,CASTFORM’s appearance changes with the weather. This POKéMON gained the ability to use the vast power of nature to protect its tiny body.
352,Kecleon,Normal,,60,90,70,60,120,40,10,220,"Color Change, Protean",It changes body color to blend in with its surroundings. It also changes color if it is happy or sad.
353,Shuppet,Ghost,,44,75,35,63,33,45,6,23,"Insomnia, Frisk","SHUPPET is attracted by feelings of jealousy and vindictiveness. If someone develops strong feelings of vengeance, this POKéMON will appear in a swarm and line up beneath the eaves of that person’s ho"
354,Banette,Ghost,,64,115,65,83,63,65,11,125,"Insomnia, Frisk",BANETTE generates energy for laying strong curses by sticking pins into its own body. This POKéMON was originally a pitiful plush doll that was thrown away.
355,Duskull,Ghost,,20,40,90,30,90,25,8,150,"Levitate, Frisk","DUSKULL can pass through any wall no matter how thick it may be. Once this POKéMON chooses a target, it will doggedly pursue the intended victim until the break of dawn."
356,Dusclops,Ghost,,40,70,130,60,130,25,16,306,"Pressure, Frisk","DUSCLOPS’s body is completely hollow - there is nothing at all inside. It is said that its body is like a black hole. This POKéMON will absorb anything into its body, but nothing will ever come back o"
357,Tropius,Grass,Flying,99,68,83,72,87,51,20,1000,"Chlorophyll, Solar Power","The bunches of fruit around TROPIUS’s neck are very popular with children. This POKéMON loves fruit, and eats it continuously. Apparently, its love for fruit resulted in its own outgrowth of fruit."
358,Chimecho,Psychic,,75,50,80,95,90,65,6,10,Levitate,"CHIMECHO makes its cries echo inside its hollow body. When this POKéMON becomes enraged, its cries result in ultrasonic waves that have the power to knock foes flying."
359,Absol,Dark,,65,130,60,75,60,75,12,470,"Pressure, Super Luck","Every time ABSOL appears before people, it is followed by a disaster such as an earthquake or a tidal wave. As a result, it came to be known as the disaster POKéMON."
360,Wynaut,Psychic,,95,23,48,23,48,23,6,140,"Shadow Tag, Telepathy","WYNAUT can always be seen with a big, happy smile on its face. Look at its tail to determine if it is angry. When angered, this POKéMON will be slapping the ground with its tail."
361,Snorunt,Ice,,50,50,50,50,50,50,7,168,"Inner Focus, Ice Body","SNORUNT live in regions with heavy snowfall. In seasons without snow, such as spring and summer, this POKéMON steals away to live quietly among stalactites and stalagmites deep in caverns."
362,Glalie,Ice,,80,80,80,80,80,80,15,2565,"Inner Focus, Ice Body","GLALIE has a body made of rock, which it hardens with an armor of ice. This POKéMON has the ability to freeze moisture in the atmosphere into any shape it desires."
363,Spheal,Ice,Water,70,40,50,55,50,25,8,395,"Thick Fat, Ice Body","SPHEAL is much faster rolling than  walking to get around. When groups of this POKéMON eat, they all clap at once to show their pleasure. Because of this, their mealtimes are noisy."
364,Sealeo,Ice,Water,90,60,70,75,70,45,11,876,"Thick Fat, Ice Body",SEALEO has the habit of always juggling on the tip of its nose anything it sees for the first time. This POKéMON occasionally entertains itself by balancing and rolling a SPHEAL on its nose.
365,Walrein,Ice,Water,110,80,90,95,90,65,14,1506,"Thick Fat, Ice Body",It swims through icy seas while shattering ice floes with its large tusks. It is protected by its thick blubber.
366,Clamperl,Water,,35,64,85,74,55,32,4,525,"Shell Armor, Rattled",CLAMPERL’s sturdy shell is not only good for protection - it is also used for clamping and catching prey. A fully grown CLAMPERL’s shell will be scored with nicks and scratches all over.
367,Huntail,Water,,55,104,105,94,75,52,17,270,"Swift Swim, Water Veil",HUNTAIL’s presence went unnoticed by people for a long time because it lives at extreme depths in the sea. This POKéMON’s eyes can see clearly even in the murky dark depths of the ocean.
368,Gorebyss,Water,,55,84,105,114,75,52,18,226,"Swift Swim, Hydration","GOREBYSS lives in the southern seas at extreme depths. Its body is built to withstand the enormous pressure of water at incredible depths. Because of this, this POKéMON’s body is unharmed by ordinary "
369,Relicanth,Water,Rock,100,90,130,45,65,55,10,234,"Swift Swim, Rock Head",RELICANTH is a POKéMON species that existed for a hundred million years without ever changing its form. This ancient POKéMON feeds on microscopic organisms with its toothless mouth.
370,Luvdisc,Water,,43,30,55,40,65,97,6,87,"Swift Swim, Hydration",LUVDISC live in shallow seas in the tropics. This heart-shaped POKéMON earned its name by swimming after loving couples it spotted in the ocean’s waves.
371,Bagon,Dragon,,45,75,60,40,30,50,6,421,"Rock Head, Sheer Force","Dreaming of one day flying, it practices by leaping off cliffs every day."
372,Shelgon,Dragon,,65,95,100,60,50,50,11,1105,"Rock Head, Overcoat","Inside SHELGON’s armor-like shell, cells are in the midst of transformation to create an entirely new body. This POKéMON’s shell is extremely heavy, making its movements sluggish."
373,Salamence,Dragon,Flying,95,135,80,110,80,100,15,1026,"Intimidate, Moxie","SALAMENCE came about as a result of a strong, long-held dream of growing wings. It is said that this powerful desire triggered a sudden mutation in this POKéMON’s cells, causing it to sprout its magni"
374,Beldum,Steel,Psychic,40,55,80,35,60,30,6,952,"Clear Body, Light Metal","Instead of blood, a powerful magnetic force courses throughout BELDUM’s body. This POKéMON communicates with others by sending controlled pulses of magnetism."
375,Metang,Steel,Psychic,60,75,100,55,80,50,12,2025,"Clear Body, Light Metal","When two BELDUM fuse together, METANG is formed. The brains of the BELDUM are joined by a magnetic nervous system. By linking its brains magnetically, this POKéMON generates strong psychokinetic power"
376,Metagross,Steel,Psychic,80,135,130,95,90,70,16,5500,"Clear Body, Light Metal","METAGROSS has four brains in total. Combined, the four brains can breeze through difficult calculations faster than a supercomputer. This POKéMON can float in the air by tucking in its four legs."
377,Regirock,Rock,,80,100,200,50,100,50,17,2300,"Clear Body, Sturdy","Its entire body is made of rock. If any part chips off in battle, it attaches rocks to repair itself."
378,Regice,Ice,,80,50,100,100,200,50,18,1750,"Clear Body, Ice Body","REGICE’s body was made during an ice age. The deep-frozen body can’t be melted, even by fire. This POKéMON controls frigid air of minus 328 degrees F."
379,Registeel,Steel,,80,75,150,75,150,50,19,2050,"Clear Body, Light Metal",REGISTEEL has a body that is harder than any kind of metal. Its body is apparently hollow. No one has any idea what this POKéMON eats.
380,Latias,Dragon,Psychic,80,80,90,110,130,110,14,400,Levitate,"LATIAS is highly sensitive to the emotions of people. If it senses any hostility, this POKéMON ruffles the feathers all over its body and cries shrilly to intimidate the foe."
381,Latios,Dragon,Psychic,80,90,80,130,110,110,20,600,Levitate,LATIOS has the ability to make its foe see an image of what it has seen or imagines in its head. This POKéMON is intelligent and understands human speech.
382,Kyogre,Water,,100,100,90,150,140,90,45,3520,Drizzle,KYOGRE has the power to create massive rain clouds that cover the entire sky and bring about torrential downpours. This POKéMON saved people who were suffering from droughts.
383,Groudon,Ground,,100,150,140,100,90,90,35,9500,Drought,GROUDON has long been described in  mythology as the POKéMON that raised lands and expanded continents. This POKéMON took to sleep after a cataclysmic battle with KYOGRE.
384,Rayquaza,Dragon,Flying,105,150,90,150,90,95,70,2065,Air Lock,"RAYQUAZA lived for hundreds of millions of years in the earth’s ozone layer,  never descending to the ground. This POKéMON appears to feed on water and particles in the atmosphere."
385,Jirachi,Steel,Psychic,100,100,100,100,100,100,3,11,Serene Grace,"A legend states that JIRACHI will make true any wish that is written on notes attached to its head when it awakens. If this POKéMON senses danger, it will fight without awakening."
386,Deoxys-normal,Psychic,,50,150,50,150,50,150,17,608,Pressure,The DNA of a space virus underwent a sudden mutation upon exposure to a laser beam and resulted in DEOXYS. The crystalline organ on this POKéMON’s chest appears to be its brain.
387,Turtwig,Grass,,55,68,64,45,55,31,4,102,"Overgrow, Shell Armor","Made from soil, the shell on its back hardens when it drinks water. It lives along lakes."
388,Grotle,Grass,,75,89,85,55,65,36,11,970,"Overgrow, Shell Armor",It knows where pure water wells up. It carries fellow Pokémon there on its back.
389,Torterra,Grass,Ground,95,109,105,75,85,56,22,3100,"Overgrow, Shell Armor",Small Pokémon occasionally gather on its unmoving back to begin building their nests.
390,Chimchar,Fire,,44,58,44,58,44,61,5,62,"Blaze, Iron Fist",It agilely scales sheer cliffs to live atop craggy mountains. Its fire is put out when it sleeps.
391,Monferno,Fire,Fighting,64,78,52,78,52,81,9,220,"Blaze, Iron Fist","To intimidate attackers, it stretches the fire on its tail to make itself appear bigger."
392,Infernape,Fire,Fighting,76,104,71,104,71,108,12,550,"Blaze, Iron Fist",It uses a special kind of martial arts involving all its limbs. Its fire never goes out.
393,Piplup,Water,,53,51,53,61,56,40,4,52,"Torrent, Competitive","Because it is very proud, it hates accepting food from people. Its thick down guards it from cold."
394,Prinplup,Water,,64,66,68,81,76,50,8,230,"Torrent, Competitive","It lives alone, away from others. Apparently, every one of them believes it is the most important."
395,Empoleon,Water,Steel,84,86,88,111,101,60,17,845,"Torrent, Competitive",The three horns that extend from its beak attest to its power. The leader has the biggest horns.
396,Starly,Normal,Flying,40,55,30,30,30,60,3,20,"Keen Eye, Reckless","They flock in great numbers. Though small, they flap their wings with great power."
397,Staravia,Normal,Flying,55,75,50,40,40,80,6,155,"Intimidate, Reckless",It flies around forests and fields in search of bug Pokémon. It stays within a huge flock.
398,Staraptor,Normal,Flying,85,120,70,50,60,100,12,249,"Intimidate, Reckless",It has a savage nature. It will courageously challenge foes that are much larger.
399,Bidoof,Normal,,59,45,40,35,40,31,5,200,"Simple, Unaware","With nerves of steel, nothing can perturb it. It is more agile and active than it appears."
400,Bibarel,Normal,Water,79,85,60,55,60,71,10,315,"Simple, Unaware",It makes its nest by damming streams with bark and mud. It is known as an industrious worker.
401,Kricketot,Bug,,37,25,41,25,41,25,3,22,"Shed Skin, Run Away","It shakes its head back to front, causing its antennae to hit each other and sound like a xylophone."
402,Kricketune,Bug,,77,85,51,55,51,65,10,255,"Swarm, Technician",It crosses its knifelike arms in front of its chest when it cries. It can compose melodies ad lib.
403,Shinx,Electric,,45,65,34,40,34,45,5,95,"Rivalry, Intimidate",All of its fur dazzles if danger is sensed. It flees while the foe is momentarily blinded.
404,Luxio,Electric,,60,85,49,60,49,60,9,305,"Rivalry, Intimidate",Its claws loose electricity with enough amperage to cause fainting. They live in small groups.
405,Luxray,Electric,,80,120,79,95,79,70,14,420,"Rivalry, Intimidate",It has eyes that can see through anything. It spots and captures prey hiding behind objects.
406,Budew,Grass,Poison,40,30,35,50,70,55,2,12,"Natural Cure, Poison Point","Over the winter, it closes its bud and endures the cold. In spring, the bud opens and releases pollen."
407,Roserade,Grass,Poison,60,70,65,125,105,90,9,145,"Natural Cure, Poison Point","It attracts prey with a sweet aroma, then downs it with thorny whips hidden in its arms."
408,Cranidos,Rock,,67,125,40,30,30,58,9,315,"Mold Breaker, Sheer Force",It lived in jungles around 100 million years ago. Its skull is as hard as iron.
409,Rampardos,Rock,,97,165,60,65,50,58,16,1025,"Mold Breaker, Sheer Force",Its powerful head butt has enough power to shatter even the most durable things upon impact.
410,Shieldon,Rock,Steel,30,42,118,42,88,30,5,570,"Sturdy, Soundproof",A Pokémon that lived in jungles around 100 million years ago. Its facial hide is extremely hard.
411,Bastiodon,Rock,Steel,60,52,168,47,138,30,13,1495,"Sturdy, Soundproof",Any frontal attack is repulsed. It is a docile Pokémon that feeds on grass and berries.
412,Burmy,Bug,,40,29,45,29,45,36,2,34,"Shed Skin, Overcoat","To shelter itself from cold, wintry winds, it covers itself with a cloak made of twigs and leaves."
413,Wormadam-plant,Bug,Grass,60,59,85,79,105,36,5,65,"Anticipation, Overcoat","When BURMY evolved, its cloak became a part of this Pokémon’s body. The cloak is never shed."
414,Mothim,Bug,Flying,70,94,50,94,50,66,9,233,"Swarm, Tinted Lens",It loves the honey of flowers and steals honey collected by COMBEE.
415,Combee,Bug,Flying,30,30,42,30,42,70,3,55,"Honey Gather, Hustle",A Pokémon formed by three others. It busily carries sweet floral honey to VESPIQUEN.
416,Vespiquen,Bug,Flying,70,80,102,80,102,40,12,385,"Pressure, Unnerve",Its abdomen is a honeycomb for grubs. It raises its grubs on honey collected by COMBEE.
417,Pachirisu,Electric,,60,45,70,45,90,95,4,39,"Run Away, Pickup",It makes fur balls that crackle with static electricity. It stores them with berries in tree holes.
418,Buizel,Water,,55,65,35,60,30,85,7,295,"Swift Swim, Water Veil",It has a flotation sac that is like an inflatable collar. It floats on water with its head out.
419,Floatzel,Water,,85,105,55,85,50,115,11,335,"Swift Swim, Water Veil",It floats using its well-developed flotation sac. It assists in the rescues of drowning people.
420,Cherubi,Grass,,45,35,45,62,53,35,4,33,Chlorophyll,"The small ball holds the nutrients needed for evolution. Apparently, it is very sweet and tasty."
421,Cherrim,Grass,,70,60,70,87,78,85,5,93,Flower Gift,It blooms during times of strong sunlight. It tries to make up for everything it endured as a bud.
422,Shellos,Water,,76,48,48,57,62,34,3,63,"Sticky Hold, Storm Drain","Its colors and shapes differ from region to region. In the Sinnoh region, two types are confirmed."
423,Gastrodon,Water,Ground,111,83,68,92,82,39,9,299,"Sticky Hold, Storm Drain","It has a pliable body without any bones. If any part of its body is torn off, it grows right back."
